Detectado,Acuracia
tvmonitor, 0.9424
cup, 0.8559
tvmonitor, 0.9980
mouse, 0.9953
keyboard, 0.9881
bottle, 0.9752
cup, 0.9454
tvmonitor, 0.9391
tvmonitor, 0.9986
mouse, 0.9916
bottle, 0.9785
keyboard, 0.9598
cup, 0.9553
tvmonitor, 0.9508
tvmonitor, 0.9987
mouse, 0.9883
bottle, 0.9698
tvmonitor, 0.9468
keyboard, 0.9307
cup, 0.8331
tvmonitor, 0.9984
bottle, 0.9892
mouse, 0.9853
keyboard, 0.9795
tvmonitor, 0.9311
cup, 0.8837
tvmonitor, 0.9990
mouse, 0.9873
bottle, 0.9855
keyboard, 0.9724
cup, 0.9214
tvmonitor, 0.9210
tvmonitor, 0.9986
keyboard, 0.9952
mouse, 0.9924
bottle, 0.9760
tvmonitor, 0.9439
cup, 0.8861
tvmonitor, 0.9987
keyboard, 0.9889
mouse, 0.9758
bottle, 0.9752
tvmonitor, 0.9557
cup, 0.7629
tvmonitor, 0.9985
keyboard, 0.9946
mouse, 0.9854
bottle, 0.9808
cup, 0.9562
tvmonitor, 0.9560
tvmonitor, 0.9992
bottle, 0.9883
mouse, 0.9862
tvmonitor, 0.9785
keyboard, 0.9541
cup, 0.8449
tvmonitor, 0.9984
mouse, 0.9958
bottle, 0.9853
tvmonitor, 0.9704
keyboard, 0.9483
cup, 0.6965
tvmonitor, 0.9982
mouse, 0.9905
bottle, 0.9837
tvmonitor, 0.9745
keyboard, 0.9376
cup, 0.8072
tvmonitor, 0.9988
mouse, 0.9864
bottle, 0.9717
tvmonitor, 0.9669
keyboard, 0.9329
tvmonitor, 0.9990
bottle, 0.9829
mouse, 0.9775
tvmonitor, 0.9489
keyboard, 0.9447
tvmonitor, 0.9986
keyboard, 0.9927
bottle, 0.9841
mouse, 0.9805
tvmonitor, 0.9733
cup, 0.8802
tvmonitor, 0.9990
keyboard, 0.9934
tvmonitor, 0.9864
mouse, 0.9823
bottle, 0.9632
cup, 0.7874
tvmonitor, 0.9984
bottle, 0.9852
tvmonitor, 0.9846
keyboard, 0.9806
mouse, 0.9706
tvmonitor, 0.9980
bottle, 0.9902
tvmonitor, 0.9858
keyboard, 0.9732
mouse, 0.9671
tvmonitor, 0.9986
keyboard, 0.9895
bottle, 0.9835
mouse, 0.9611
